PlayerID,CountryID,Played For National Team,Caps,International goals
168832,27,True,134,10
199600,14,True,67,5
178403,16,True,96,7
297377,21,True,55,4
278072,3,True,83,6
202655,18,True,56,4
290904,31,True,56,4
197411,2,True,28,2
213124,3,True,14,1
364707,19,True,14,1
303394,1,True,14,1
306424,2,True,14,1
269784,23,True,43,3
234463,16,True,58,4
358013,30,True,29,2
311150,12,True,29,2
305972,28,True,29,2
216004,31,True,59,4
216973,6,True,60,4
215208,11,True,61,4
294619,19,True,61,4
200219,24,True,48,3
3408,24,True,97,6
200935,14,True,49,3
230114,22,True,49,3
215274,25,True,67,4
268821,32,True,34,2
295157,3,True,17,1
349588,18,True,17,1
330693,22,True,17,1
310048,14,True,35,2
268822,32,True,35,2
178963,5,True,106,6
297373,21,True,72,4
321641,25,True,36,2
210212,23,True,18,1
245156,18,True,18,1
299086,27,True,18,1
367918,4,True,18,1
233703,10,True,37,2
209827,22,True,93,5
275931,23,True,57,3
228936,25,True,19,1
186787,29,True,97,5
200262,14,True,39,2
271253,13,True,40,2
251481,3,True,20,1
233530,18,True,20,1
311148,12,True,20,1
375754,26,True,20,1
315429,16,True,20,1
279417,28,True,41,2
267647,16,True,41,2
196748,12,True,105,5
207946,5,True,42,2
286259,7,True,42,2
358022,27,True,21,1
313805,32,True,21,1
233497,13,True,21,1
311174,20,True,21,1
356409,15,True,21,1
183893,20,True,43,2
298664,25,True,43,2
290824,31,True,43,2
229439,18,True,65,3
175689,25,True,22,1
300237,29,True,22,1
358014,30,True,22,1
299896,21,True,22,1
289964,4,True,45,2
291372,13,True,69,3
228617,18,True,46,2
216715,9,True,23,1
305768,17,True,23,1
229440,18,True,23,1
339551,22,True,23,1
200201,23,True,47,2
216650,15,True,47,2
216627,15,True,48,2
312679,26,True,24,1
207888,12,True,97,4
216069,8,True,74,3
239237,11,True,25,1
216006,31,True,25,1
307026,32,True,25,1
347716,13,True,25,1
306634,19,True,25,1
213878,22,True,76,3
229499,7,True,76,3
186793,29,True,77,3
339447,32,True,26,1
321971,20,True,26,1
296273,20,True,26,1
183796,32,True,54,2
296827,11,True,28,1
181930,28,True,58,2
288961,3,True,58,2
181698,24,True,29,1
278732,14,True,29,1
286481,7,True,89,3
356711,16,True,31,1
200199,23,True,66,2
358099,8,True,33,1
213879,22,True,100,3
268474,13,True,67,2
216646,15,True,34,1
290864,31,True,34,1
356459,16,True,34,1
216642,15,True,35,1
296303,22,True,35,1
175512,20,True,36,1
349578,28,True,36,1
273291,16,True,36,1
289027,13,True,78,2
291329,5,True,42,1
216645,15,True,44,1
229436,18,True,44,1
185359,7,True,89,2
237071,22,True,90,2
197409,2,True,46,1
207924,17,True,46,1
238381,19,True,46,1
183798,32,True,47,1
182372,10,True,96,2
216880,31,True,48,1
228351,27,True,49,1
229443,24,True,49,1
197464,17,True,51,1
200213,24,True,52,1
238112,1,True,52,1
267829,7,True,56,1
209940,32,True,61,1
276131,7,True,62,1
230117,22,True,65,1
216964,9,True,70,1
198489,5,True,77,1
184373,13,True,80,1
208120,32,True,81,1
209960,1,True,92,1
176971,5,True,119,1
94918,24,True,50,0
178185,22,True,120,0
159304,25,True,139,0
179048,21,True,110,0
178420,20,True,98,0
182021,30,True,11,0
184982,20,True,14,0
178958,5,True,76,0
179038,4,True,79,0
367333,29,True,1,0
358097,8,True,3,0
195223,12,True,2,0
209168,2,True,8,0
214377,25,True,47,0
176644,6,True,153,0
215484,27,True,49,0
178630,18,True,7,0
298516,3,True,11,0
356612,10,True,13,0
213871,22,True,20,0
195231,1,True,32,0
212246,30,True,57,0
215471,27,True,18,0
274703,10,True,3,0
214404,23,True,7,0
181951,20,True,16,0
214874,32,True,20,0
207809,4,True,8,0
210702,21,True,49,0
286238,7,True,54,0
309426,4,True,6,0
253999,17,True,6,0
184320,4,True,9,0
175546,1,True,14,0
175413,6,True,32,0
299066,23,True,33,0
175629,7,True,4,0
216990,14,True,9,0
202650,18,True,79,0
198117,13,True,56,0
189300,16,True,90,0
196620,15,True,41,0
254141,30,True,40,0
275793,28,True,21,0
196633,15,True,57,0
306144,10,True,10,0
349832,10,True,8,0
184856,16,True,31,0
299904,8,True,24,0
254089,9,True,14,0
354873,11,True,22,0
216432,29,True,60,0
306180,14,True,21,0
329737,3,True,16,0
254091,9,True,2,0
358893,29,True,11,0
216438,29,True,43,0
317072,14,True,30,0
321682,11,True,29,0
202280,28,True,48,0
306206,3,True,47,0
214571,30,True,11,0
214407,23,True,35,0
276139,20,True,25,0
357990,21,True,21,0
299887,21,True,6,0
198546,26,True,60,0
297230,22,True,54,0
182479,16,True,14,0
305708,11,True,7,0
378836,25,True,3,0
182620,2,True,2,0
229450,28,True,22,0
356166,11,True,1,0
298676,26,True,13,0
299064,23,True,11,0
376071,19,True,17,0
323339,11,True,26,0
367555,5,True,6,0
276132,7,True,41,0
182379,10,True,36,0
228912,12,True,45,0
229498,7,True,57,0
228328,27,True,18,0
302630,28,True,24,0
233333,25,True,2,0
216820,6,True,46,0
323326,11,True,27,0
215017,29,True,68,0
358012,30,True,17,0
215285,1,True,56,0
214581,13,True,12,0
301165,32,True,11,0
200259,14,True,15,0
280487,24,True,43,0
359997,8,True,13,0
199160,32,True,2,0
290822,31,True,8,0
278126,26,True,8,0
349582,18,True,11,0
201001,10,True,47,0
200133,10,True,17,0
268911,13,True,5,0
200205,23,True,7,0
303419,28,True,18,0
266783,10,True,45,0
299956,17,True,40,0
360111,27,True,2,0
298655,25,True,8,0
271043,4,True,35,0
359448,30,True,2,0
297105,30,True,56,0
200209,24,True,23,0
200130,10,True,18,0
291332,5,True,1,0
298613,4,True,5,0
369983,29,True,10,0
358046,29,True,4,0
199175,32,True,52,0
367433,20,True,16,0
329745,3,True,21,0
363578,26,True,11,0
267344,3,True,19,0
298662,25,True,19,0
296312,22,True,26,0
321731,27,True,29,0
359375,21,True,5,0
379889,3,True,6,0
240718,5,True,4,0
268411,26,True,13,0
294626,19,True,40,0
362881,17,True,1,0
230121,8,True,30,0
346763,3,True,4,0
298738,31,True,14,0
379888,3,True,4,0
232760,9,True,5,0
353237,19,True,21,0
359436,23,True,7,0
269768,23,True,29,0
349631,10,True,5,0
354883,11,True,6,0
299090,27,True,47,0
359428,23,True,7,0
360109,27,True,15,0
319298,27,True,13,0
200261,14,True,46,0
228624,18,True,4,0
370062,2,True,8,0
349576,28,True,37,0
361222,17,True,4,0
228942,25,True,11,0
298677,9,True,10,0
355023,14,True,9,0
379264,1,True,4,0
234405,20,True,19,0
299442,12,True,38,0
359993,8,True,7,0
379985,29,True,1,0
356933,2,True,3,0
353379,3,True,7,0
362649,27,True,4,0
270714,6,True,16,0
367558,5,True,2,0
303034,6,True,65,0
229051,2,True,17,0
349568,28,True,3,0
367920,6,True,3,0
321734,13,True,2,0
302381,12,True,3,0
358738,9,True,7,0
358694,12,True,4,0
312987,32,True,10,0
228686,24,True,43,0
319460,15,True,6,0
295149,2,True,13,0
291398,26,True,10,0
332293,5,True,7,0
228691,24,True,8,0
358881,29,True,5,0
350129,1,True,7,0
312234,2,True,3,0
356748,17,True,11,0
318688,10,True,20,0
311850,19,True,16,0
319436,9,True,5,0
317056,30,True,16,0
356189,17,True,9,0
319428,9,True,15,0
367343,29,True,2,0
359995,8,True,13,0
365556,20,True,12,0
306410,2,True,9,0
290931,14,True,47,0
350003,13,True,17,0
306780,25,True,2,0
